"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.587492292E0,-5.688171387E-2,1.318757629E-1,9.786498871E0,9.787552651E0
2.597479291E0,-5.194198608E-2,1.395098877E-1,9.789342957E0,9.790474784E0
2.607466292E0,-4.819976807E-2,1.423539734E-1,9.786947937E0,9.788101848E0
2.617454292E0,-6.481521606E-2,1.410067749E-1,9.798024902E0,9.799253845E0
2.627441291E0,-6.227050781E-2,1.484912109E-1,9.796677704E0,9.798000882E0
2.637428292E0,-6.107299805E-2,1.404080200E-1,9.788744202E0,9.789941643E0
2.647416292E0,-5.269042969E-2,1.380130005E-1,9.790839844E0,9.791954285E0
2.657403292E0,-5.867797852E-2,1.423539734E-1,9.788295135E0,9.789506087E0
2.667390292E0,-5.433700562E-2,1.448986816E-1,9.805060272E0,9.806281409E0
2.677378291E0,-5.119354248E-2,1.466949463E-1,9.798923035E0,9.800154735E0
2.687365292E0,-6.107299805E-2,1.320254517E-1,9.803563385E0,9.804642557E0
2.697351833E0,-5.673202515E-2,1.413061523E-1,9.794881439E0,9.796064943E0
2.707339833E0,-5.867797852E-2,1.398092651E-1,9.781409454E0,9.782584559E0
2.717326833E0,-5.748046875E-2,1.347198486E-1,9.789941711E0,9.791037338E0
2.727313833E0,-4.640350342E-2,1.438508606E-1,9.787995758E0,9.789162748E0
2.737301833E0,-5.149291992E-2,1.419049072E-1,9.789342957E0,9.790506833E0
2.747288833E0,-5.583389282E-2,1.457968140E-1,9.792187042E0,9.793431534E0
2.757275833E0,-6.062393188E-2,1.378633118E-1,9.798024902E0,9.799182289E0
2.767263833E0,-5.912704468E-2,1.338217163E-1,9.783654785E0,9.784748603E0
2.777250833E0,-5.418731689E-2,1.399589539E-1,9.795480194E0,9.796629880E0
2.787238833E0,-5.763015747E-2,1.327738953E-1,9.790989532E0,9.792059343E0
2.797225833E0,-6.152206421E-2,1.366658020E-1,9.797126770E0,9.798273085E0
2.807212833E0,-6.706054688E-2,1.442999268E-1,9.791737976E0,9.793030796E0
2.817199833E0,-6.526428223E-2,1.450483704E-1,9.782606964E0,9.783899911E0
2.827187833E0,-6.062393188E-2,1.380130005E-1,9.795779572E0,9.796939331E0
2.837174833E0,-6.092330933E-2,1.321751404E-1,9.787696381E0,9.788778389E0
2.847162833E0,-5.957611084E-2,1.344204712E-1,9.789642334E0,9.790746407E0
